municipio,coddane,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre,total
FLANDES,275,34,20,44,30,18,0,0,0,0,0,0,0,146
MELGAR,449,51,44,49,48,26,0,0,0,0,0,0,0,218
SUAREZ,770,2,4,4,3,0,0,0,0,0,0,0,0,13
ORTEGA,504,34,36,29,30,10,0,0,0,0,0,0,0,139
VALLE DE SAN JUAN,854,6,3,5,5,3,0,0,0,0,0,0,0,22
ANZOATEGUI,43,7,5,5,8,6,0,0,0,0,0,0,0,31
PIEDRAS,547,2,7,4,10,2,0,0,0,0,0,0,0,25
SALDANA,671,19,3,9,13,5,0,0,0,0,0,0,0,49
SAN ANTONIO,675,18,11,24,14,7,0,0,0,0,0,0,0,74
ROVIRA,624,34,36,23,33,16,0,0,0,0,0,0,0,142
SAN LUIS,678,19,13,5,9,8,0,0,0,0,0,0,0,54
GUAMO,319,20,33,31,37,12,0,0,0,0,0,0,0,133
ARMERO_GUAYABAL,55,14,9,8,7,4,0,0,0,0,0,0,0,42
PRADO,563,13,8,6,4,4,0,0,0,0,0,0,0,35
HERVEO,347,3,0,7,5,1,0,0,0,0,0,0,0,16
MURILLO,461,2,7,4,5,0,0,0,0,0,0,0,0,18
ALPUJARRA,24,3,1,6,3,3,0,0,0,0,0,0,0,16
LIBANO,411,44,44,41,36,11,0,0,0,0,0,0,0,176
DOLORES,236,2,3,3,11,7,0,0,0,0,0,0,0,26
RONCESVALLES,622,7,10,4,2,0,0,0,0,0,0,0,0,23
SANTA ISABEL,686,3,7,10,6,8,0,0,0,0,0,0,0,34
CUNDAY,226,8,4,9,4,1,0,0,0,0,0,0,0,26
ATACO,67,27,23,24,21,8,0,0,0,0,0,0,0,103
FALAN,270,3,2,3,7,2,0,0,0,0,0,0,0,17
CHAPARRAL,168,81,46,61,71,31,0,0,0,0,0,0,0,290
PLANADAS,555,46,40,32,36,14,0,0,0,0,0,0,0,168
RIOBLANCO,616,39,22,29,24,12,0,0,0,0,0,0,0,126
COYAIMA,217,26,24,32,30,7,0,0,0,0,0,0,0,119
ICONONZO,352,6,6,9,9,2,0,0,0,0,0,0,0,32
CASABIANCA,152,6,3,6,7,4,0,0,0,0,0,0,0,26
VENADILLO,861,10,8,12,10,10,0,0,0,0,0,0,0,50
HONDA,349,30,17,29,25,17,0,0,0,0,0,0,0,118
PALOCABILDO,520,5,10,10,10,6,0,0,0,0,0,0,0,41
VILLARICA,873,3,7,6,2,3,0,0,0,0,0,0,0,21
FRESNO,283,38,34,36,36,8,0,0,0,0,0,0,0,152
VILLAHERMOSA,870,7,8,2,9,4,0,0,0,0,0,0,0,30
IBAGUE,1,604,540,671,615,288,0,0,0,0,0,0,0,"2,718"
LERIDA,408,18,20,13,25,14,0,0,0,0,0,0,0,90
CARMEN DE APICALA,148,9,9,7,9,3,0,0,0,0,0,0,0,37
PURIFICACION,585,24,28,31,26,7,0,0,0,0,0,0,0,116
CAJAMARCA,124,33,24,23,27,13,0,0,0,0,0,0,0,120
ESPINAL,268,99,70,97,102,45,0,0,0,0,0,0,0,413
MARIQUITA,443,43,25,42,38,18,0,0,0,0,0,0,0,166
ALVARADO,26,6,10,6,4,2,0,0,0,0,0,0,0,28
AMBALEMA,30,5,6,5,2,3,0,0,0,0,0,0,0,21
COELLO,200,8,9,10,5,4,0,0,0,0,0,0,0,36
NATAGAIMA,483,17,14,21,15,10,0,0,0,0,0,0,0,77
